resolved_timestamp,event_slug,series_slug,asset,timeframe,market_type,threshold_price,winning_outcome
2026-03-06T07:04:05Z,bitcoin-above-on-march-5,,BTC,daily,daily_above,56000,YES
2026-03-06T07:04:05Z,bitcoin-above-on-march-5,,BTC,daily,daily_above,62000,YES
2026-03-06T07:04:05Z,bitcoin-above-on-march-5,,BTC,daily,daily_above,68000,YES
2026-03-06T07:04:05Z,bitcoin-above-on-march-5,,BTC,daily,daily_above,70000,YES
2026-03-06T07:04:05Z,bitcoin-above-on-march-5,,BTC,daily,daily_above,72000,NO
2026-03-06T07:04:05Z,bitcoin-above-on-march-5,,BTC,daily,daily_above,58000,YES
2026-03-06T07:04:05Z,bitcoin-above-on-march-5,,BTC,daily,daily_above,74000,NO
2026-03-06T07:04:05Z,bitcoin-above-on-march-5,,BTC,daily,daily_above,60000,YES
2026-03-06T07:04:05Z,bitcoin-above-on-march-5,,BTC,daily,daily_above,64000,YES
2026-03-06T07:04:05Z,bitcoin-above-on-march-5,,BTC,daily,daily_above,66000,YES
2026-03-06T07:04:05Z,bitcoin-above-on-march-5,,BTC,daily,daily_above,76000,NO
2026-03-06T07:04:05Z,ethereum-above-on-march-5,,ETH,daily,daily_above,1700,YES
2026-03-06T07:04:05Z,ethereum-above-on-march-5,,ETH,daily,daily_above,1900,YES
2026-03-06T07:04:05Z,ethereum-above-on-march-5,,ETH,daily,daily_above,2000,YES
2026-03-06T07:04:05Z,ethereum-above-on-march-5,,ETH,daily,daily_above,2200,NO
2026-03-06T07:04:05Z,ethereum-above-on-march-5,,ETH,daily,daily_above,2300,NO
2026-03-06T07:04:05Z,ethereum-above-on-march-5,,ETH,daily,daily_above,1500,YES
2026-03-06T07:04:05Z,ethereum-above-on-march-5,,ETH,daily,daily_above,1600,YES
2026-03-06T07:04:05Z,ethereum-above-on-march-5,,ETH,daily,daily_above,2400,NO
2026-03-06T07:04:05Z,ethereum-above-on-march-5,,ETH,daily,daily_above,1800,YES
2026-03-06T07:04:05Z,ethereum-above-on-march-5,,ETH,daily,daily_above,2100,NO
2026-03-06T07:04:05Z,ethereum-above-on-march-5,,ETH,daily,daily_above,2500,NO
2026-03-06T07:07:50Z,xrp-updown-5m-1772780400,xrp-up-or-down-5m,XRP,5m,up_down,,Up
2026-03-06T07:07:50Z,btc-updown-5m-1772780400,btc-up-or-down-5m,BTC,5m,up_down,,Up
2026-03-06T07:07:50Z,eth-updown-5m-1772780400,eth-up-or-down-5m,ETH,5m,up_down,,Up
2026-03-06T07:07:50Z,sol-updown-5m-1772780400,sol-up-or-down-5m,SOL,5m,up_down,,Up
2026-03-06T07:11:59Z,xrp-updown-5m-1772780700,xrp-up-or-down-5m,XRP,5m,up_down,,Down
2026-03-06T07:11:59Z,btc-updown-5m-1772780700,btc-up-or-down-5m,BTC,5m,up_down,,Down
2026-03-06T07:11:59Z,sol-updown-5m-1772780700,sol-up-or-down-5m,SOL,5m,up_down,,Down
2026-03-06T07:11:59Z,eth-updown-5m-1772780700,eth-up-or-down-5m,ETH,5m,up_down,,Down
2026-03-06T07:18:14Z,xrp-updown-15m-1772780400,xrp-up-or-down-15m,XRP,15m,up_down,,Down
2026-03-06T07:18:14Z,btc-updown-5m-1772781000,btc-up-or-down-5m,BTC,5m,up_down,,Down
2026-03-06T07:18:14Z,btc-updown-15m-1772780400,btc-up-or-down-15m,BTC,15m,up_down,,Down
2026-03-06T07:18:14Z,sol-updown-15m-1772780400,sol-up-or-down-15m,SOL,15m,up_down,,Down
2026-03-06T07:18:14Z,eth-updown-15m-1772780400,eth-up-or-down-15m,ETH,15m,up_down,,Down
2026-03-06T07:18:14Z,eth-updown-5m-1772781000,eth-up-or-down-5m,ETH,5m,up_down,,Down
2026-03-06T07:18:14Z,xrp-updown-5m-1772781000,xrp-up-or-down-5m,XRP,5m,up_down,,Down
2026-03-06T07:18:14Z,sol-updown-5m-1772781000,sol-up-or-down-5m,SOL,5m,up_down,,Down
2026-03-06T07:22:23Z,xrp-updown-5m-1772781300,xrp-up-or-down-5m,XRP,5m,up_down,,Up
2026-03-06T07:22:23Z,btc-updown-5m-1772781300,btc-up-or-down-5m,BTC,5m,up_down,,Up
2026-03-06T07:22:23Z,eth-updown-5m-1772781300,eth-up-or-down-5m,ETH,5m,up_down,,Up
2026-03-06T07:22:23Z,sol-updown-5m-1772781300,sol-up-or-down-5m,SOL,5m,up_down,,Up
2026-03-06T07:27:35Z,eth-updown-5m-1772781600,eth-up-or-down-5m,ETH,5m,up_down,,Up
2026-03-06T07:27:35Z,xrp-updown-5m-1772781600,xrp-up-or-down-5m,XRP,5m,up_down,,Up
2026-03-06T07:27:35Z,sol-updown-5m-1772781600,sol-up-or-down-5m,SOL,5m,up_down,,Up
2026-03-06T07:27:35Z,btc-updown-5m-1772781600,btc-up-or-down-5m,BTC,5m,up_down,,Up
2026-03-06T07:34:52Z,eth-updown-5m-1772781900,eth-up-or-down-5m,ETH,5m,up_down,,Up
2026-03-06T07:34:52Z,sol-updown-15m-1772781300,sol-up-or-down-15m,SOL,15m,up_down,,Up
2026-03-06T07:34:52Z,xrp-updown-5m-1772781900,xrp-up-or-down-5m,XRP,5m,up_down,,Up
2026-03-06T07:34:52Z,btc-updown-15m-1772781300,btc-up-or-down-15m,BTC,15m,up_down,,Up
2026-03-06T07:34:52Z,sol-updown-5m-1772781900,sol-up-or-down-5m,SOL,5m,up_down,,Up
2026-03-06T07:34:52Z,eth-updown-15m-1772781300,eth-up-or-down-15m,ETH,15m,up_down,,Up
2026-03-06T07:34:52Z,btc-updown-5m-1772781900,btc-up-or-down-5m,BTC,5m,up_down,,Up
2026-03-06T07:34:52Z,xrp-updown-15m-1772781300,xrp-up-or-down-15m,XRP,15m,up_down,,Up
2026-03-06T07:36:58Z,xrp-updown-5m-1772782200,xrp-up-or-down-5m,XRP,5m,up_down,,Down
2026-03-06T07:36:58Z,eth-updown-5m-1772782200,eth-up-or-down-5m,ETH,5m,up_down,,Down
2026-03-06T07:36:58Z,btc-updown-5m-1772782200,btc-up-or-down-5m,BTC,5m,up_down,,Up
2026-03-06T07:36:58Z,sol-updown-5m-1772782200,sol-up-or-down-5m,SOL,5m,up_down,,Down
2026-03-06T07:43:14Z,sol-updown-5m-1772782500,sol-up-or-down-5m,SOL,5m,up_down,,Down
2026-03-06T07:43:14Z,eth-updown-5m-1772782500,eth-up-or-down-5m,ETH,5m,up_down,,Down
2026-03-06T07:43:14Z,btc-updown-5m-1772782500,btc-up-or-down-5m,BTC,5m,up_down,,Down
2026-03-06T07:43:14Z,xrp-updown-5m-1772782500,xrp-up-or-down-5m,XRP,5m,up_down,,Up
2026-03-06T07:47:25Z,eth-updown-15m-1772782200,eth-up-or-down-15m,ETH,15m,up_down,,Up
2026-03-06T07:47:25Z,sol-updown-15m-1772782200,sol-up-or-down-15m,SOL,15m,up_down,,Up
2026-03-06T07:47:25Z,sol-updown-5m-1772782800,sol-up-or-down-5m,SOL,5m,up_down,,Up
2026-03-06T07:47:25Z,eth-updown-5m-1772782800,eth-up-or-down-5m,ETH,5m,up_down,,Up
2026-03-06T07:47:25Z,btc-updown-5m-1772782800,btc-up-or-down-5m,BTC,5m,up_down,,Up
2026-03-06T07:47:25Z,btc-updown-15m-1772782200,btc-up-or-down-15m,BTC,15m,up_down,,Up
2026-03-06T07:47:25Z,xrp-updown-5m-1772782800,xrp-up-or-down-5m,XRP,5m,up_down,,Up
