exit_ts,slug,asset,tf,entry_price,exit_price,shares,cost,pnl,won,exit_reason,entry_ts
2026-03-11T08:53:11.350743+00:00,ethereum-up-or-down-march-11-4am-et,ETH,1h,0.935,0.99,57.0,53.295,3.134999999999998,True,target,2026-03-11T08:37:40.409466+00:00
2026-03-11T09:27:10.686815+00:00,btc-updown-15m-1773220500,BTC,15m,0.915,0.815,40.0,36.6,-4.000000000000007,False,stop_loss,2026-03-11T09:24:45.033213+00:00
2026-03-11T09:28:53.543876+00:00,xrp-updown-15m-1773220500,XRP,15m,0.935,0.99,35.0,32.725,1.9249999999999972,True,target,2026-03-11T09:22:59.893559+00:00
2026-03-11T09:32:24.394750+00:00,eth-updown-15m-1773220500,ETH,15m,0.915,0.985,36.0,32.94,3.0600000000000023,True,auto_resolved,2026-03-11T09:25:24.142782+00:00
2026-03-11T10:01:48.282881+00:00,xrp-up-or-down-march-11-5am-et,XRP,1h,0.965,0.04,71.0,68.515,-68.515,False,write_off,2026-03-11T09:49:46.725946+00:00
2026-03-11T10:07:28.082838+00:00,42166009798680229124512017099775686241338048568462364732288430190155263545226,ORPHAN,?,0,0.99,150.096771,139.58984693322898,9.005956356771009,True,target,
2026-03-11T10:47:14.583818+00:00,ethereum-up-or-down-march-11-6am-et,ETH,1h,0.945,0.99,17.0,16.064999999999998,0.9350000000000023,True,auto_resolved,2026-03-11T10:43:05.510777+00:00
2026-03-11T10:47:15.585516+00:00,54782985622126982863628061148951116917921516082584303851617292154899317207892,ORPHAN,?,0,0.99,16.99837,16.658402600000002,0.16998369999999952,True,target,
2026-03-11T10:52:54.999819+00:00,xrp-up-or-down-march-11-6am-et,XRP,1h,0.915,0.99,53.0,48.495000000000005,4.5049999999999955,True,auto_resolved,2026-03-11T10:39:03.683682+00:00
2026-03-11T10:59:07.169494+00:00,bitcoin-up-or-down-march-11-6am-et,BTC,1h,0.965,0.9895,28.0,27.02,0.6860000000000035,True,expiring,2026-03-11T10:45:27.199326+00:00
2026-03-11T12:27:13.384723+00:00,btc-updown-15m-1773231300,BTC,15m,0.975,0.99,32.0,31.2,0.8000000000000007,True,auto_resolved,2026-03-11T12:24:49.036875+00:00
2026-03-11T12:53:16.915077+00:00,xrp-up-or-down-march-11-8am-et,XRP,1h,0.905,0.99,105.0,95.025,8.924999999999997,True,target,2026-03-11T12:33:23.915138+00:00
2026-03-11T12:53:52.324215+00:00,108682920103207312133910689964618632934644375663795659157594565249695801962261,ORPHAN,?,0,0.99,30.077074,25.68236233249,4.093940927509998,True,target,
2026-03-11T13:27:45.984267+00:00,eth-updown-15m-1773234900,ETH,15m,0.905,0.99,13.0,11.765,1.1049999999999986,True,target,2026-03-11T13:22:17.488805+00:00
2026-03-11T13:27:46.488650+00:00,btc-updown-15m-1773234900,BTC,15m,0.975,0.99,10.0,9.75,0.25,True,auto_resolved,2026-03-11T13:24:25.811208+00:00
2026-03-11T13:37:12.532243+00:00,bitcoin-up-or-down-march-11-9am-et,BTC,1h,0.905,0.99,116.0,104.98,9.86,True,target,2026-03-11T13:21:39.072559+00:00
2026-03-11T13:39:05.796446+00:00,ethereum-up-or-down-march-11-9am-et,ETH,1h,0.915,0.99,18.0,16.47,1.3500000000000014,True,target,2026-03-11T13:23:27.061104+00:00
2026-03-11T13:39:06.535778+00:00,xrp-up-or-down-march-11-9am-et,XRP,1h,0.93,0.99,27.0,25.110000000000003,1.6199999999999974,True,target,2026-03-11T13:33:10.822430+00:00
2026-03-11T13:39:41.327772+00:00,eth-updown-15m-1773235800,ETH,15m,0.905,0.99,11.0,9.955,0.9350000000000005,True,target,2026-03-11T13:35:24.558433+00:00
2026-03-11T13:39:41.990227+00:00,btc-updown-15m-1773235800,BTC,15m,0.955,0.99,14.0,13.37,0.4900000000000002,True,target,2026-03-11T13:37:45.993592+00:00
2026-03-11T13:40:52.482035+00:00,88530062576464706576755104754210176564847273449727686637020368085187314031723,ORPHAN,?,0,0.99,1.038078,0.9705738638160001,0.057123356183999996,True,target,
2026-03-11T13:43:04.848025+00:00,xrp-updown-15m-1773235800,XRP,15m,0.975,0.99,12.0,11.7,0.17999999999999972,True,target,2026-03-11T13:37:45.993592+00:00
2026-03-11T13:59:04.050019+00:00,xrp-up-or-down-march-11-9am-et,XRP,1h,0.9835,0.99,110.0,108.185,0.7150000000000034,True,target,2026-03-11T13:45:46.209621+00:00
2026-03-11T14:27:11.105914+00:00,eth-updown-15m-1773238500,ETH,15m,0.915,0.735,41.0,37.515,-7.380000000000003,False,stop_loss,2026-03-11T14:21:46.234202+00:00
2026-03-11T14:27:44.483880+00:00,btc-updown-15m-1773238500,BTC,15m,0.905,0.805,37.0,33.485,-3.6999999999999993,False,stop_loss,2026-03-11T14:25:25.307646+00:00
2026-03-11T14:53:20.872280+00:00,bitcoin-up-or-down-march-11-10am-et,BTC,1h,0.965,0.99,112.0,108.08,2.799999999999997,True,target,2026-03-11T14:39:52.735479+00:00
2026-03-11T14:53:21.664145+00:00,ethereum-up-or-down-march-11-10am-et,ETH,1h,0.945,0.99,40.0,37.8,1.8000000000000043,True,target,2026-03-11T14:39:52.735479+00:00
2026-03-11T14:59:11.571167+00:00,xrp-up-or-down-march-11-10am-et,XRP,1h,0.92,0.965,69.0,63.480000000000004,3.1049999999999898,True,expiring,2026-03-11T14:45:48.230081+00:00
2026-03-11T14:59:52.273761+00:00,xrp-up-or-down-march-11-10am-et,XRP,1h,0.965,0.965,114.0,110.00999999999999,0.0,False,expiring,2026-03-11T14:59:10.098170+00:00
2026-03-11T15:05:24.862385+00:00,xrp-up-or-down-march-11-10am-et,XRP,1h,0.965,0.0005,114.0,110.00999999999999,-110.00999999999999,False,write_off,2026-03-11T14:59:51.011162+00:00
2026-03-11T15:28:59.339781+00:00,xrp-updown-15m-1773242100,XRP,15m,0.935,0.99,14.0,13.09,0.7699999999999996,True,target,2026-03-11T15:25:18.512906+00:00
2026-03-11T15:28:59.946496+00:00,btc-updown-15m-1773242100,BTC,15m,0.925,0.99,16.0,14.8,1.0399999999999991,True,target,2026-03-11T15:25:18.512906+00:00
2026-03-11T15:29:00.497496+00:00,eth-updown-15m-1773242100,ETH,15m,0.989,0.99,13.0,12.857,0.0129999999999999,True,target,2026-03-11T15:27:11.111884+00:00
2026-03-11T15:59:20.027643+00:00,eth-updown-15m-1773243900,ETH,15m,0.92,0.99,17.0,15.64,1.3599999999999994,True,auto_resolved,2026-03-11T15:54:57.461050+00:00
2026-03-11T15:59:20.482059+00:00,xrp-updown-15m-1773243900,XRP,15m,0.955,0.99,12.0,11.459999999999999,0.5400000000000009,True,auto_resolved,2026-03-11T15:56:45.802443+00:00
2026-03-11T16:44:12.657905+00:00,xrp-updown-15m-1773246600,XRP,15m,0.935,0.985,10.0,9.350000000000001,0.4999999999999982,True,expiring,2026-03-11T16:39:14.300682+00:00
