resolved_timestamp,event_name,city,target_date,series_slug,question,outcome_name,won,max_implied_prob,max_clob_buy_price,first_seen_timestamp,last_seen_timestamp,minutes_tracked
2026-03-11T04:35:13.342959+00:00,Highest temperature in NYC on March 11?,NYC,2026-03-11,nyc-daily-weather,Will the highest temperature in New York City be between 54-55°F on March 11?,No,true,0.995,0,2026-03-11T04:27:18.867654+00:00,2026-03-11T04:30:09.714386+00:00,2.8
2026-03-11T04:41:16.208148+00:00,Highest temperature in Wellington on March 11?,Wellington,2026-03-11,wellington-daily-weather,Will the highest temperature in Wellington be 21°C or higher on March 11?,No,true,0.994,0,2026-03-11T04:27:18.867654+00:00,2026-03-11T04:36:13.438878+00:00,8.9
2026-03-11T04:53:22.648968+00:00,Highest temperature in Seoul on March 11?,Seoul,2026-03-11,seoul-daily-weather,Will the highest temperature in Seoul be 9°C on March 11?,No,likely,0.9865,0,2026-03-11T04:27:18.867654+00:00,2026-03-11T04:48:20.367618+00:00,21.0
2026-03-11T04:59:26.611210+00:00,Highest temperature in NYC on March 11?,NYC,2026-03-11,nyc-daily-weather,Will the highest temperature in New York City be 56°F or higher on March 11?,Yes,true,0.9945,0,2026-03-11T04:27:18.867654+00:00,2026-03-11T04:54:23.309870+00:00,27.1
2026-03-11T05:08:31.711912+00:00,Highest temperature in Seattle on March 12?,Seattle,2026-03-12,seattle-daily-weather,Will the highest temperature in Seattle be between 40-41°F on March 12?,No,true,0.995,0,2026-03-11T04:27:18.867654+00:00,2026-03-11T05:03:28.350377+00:00,36.2
2026-03-11T05:08:31.711912+00:00,Highest temperature in Chicago on March 10?,Chicago,2026-03-10,chicago-daily-weather,Will the highest temperature in Chicago be between 60-61°F on March 10?,Yes,likely,0.988,0,2026-03-11T04:55:24.072558+00:00,2026-03-11T05:03:28.350377+00:00,8.1
2026-03-11T05:08:31.711912+00:00,Highest temperature in Ankara on March 11?,Ankara,2026-03-11,ankara-daily-weather,Will the highest temperature in Ankara be 9°C on March 11?,No,true,0.995,0,2026-03-11T05:01:27.485198+00:00,2026-03-11T05:03:28.350377+00:00,2.0
2026-03-11T05:14:41.024057+00:00,Highest temperature in Tokyo on March 11?,Tokyo,2026-03-11,tokyo-daily-weather,Will the highest temperature in Tokyo be 9°C on March 11?,No,true,0.995,0.999,2026-03-11T04:27:18.867654+00:00,2026-03-11T05:09:33.862430+00:00,42.2
2026-03-11T05:29:47.866108+00:00,Highest temperature in Chicago on March 11?,Chicago,2026-03-11,chicago-daily-weather,Will the highest temperature in Chicago be 39°F or below on March 11?,No,true,0.994,0,2026-03-11T04:27:18.867654+00:00,2026-03-11T05:24:44.786858+00:00,57.4
2026-03-11T05:29:47.866108+00:00,Highest temperature in Tokyo on March 11?,Tokyo,2026-03-11,tokyo-daily-weather,Will the highest temperature in Tokyo be 13°C or higher on March 11?,No,true,0.9945,0,2026-03-11T04:27:18.867654+00:00,2026-03-11T05:24:44.786858+00:00,57.4
